compania,videoperitacion,fecha_entrada,perito,provincia,honorario_gabinete,honorario_perito,tasacion_origen,tiempo_resolucion_dias
Allianz,No,2024-09-08,Perito B,Sevilla,50,16,7470,5.6
AXA,No,2025-06-21,Perito D,Zaragoza,59,29,7803,6.2
Mutua,No,2024-11-11,Perito D,Málaga,53,31,1060,1.0
Mapfre,Si,2025-04-05,Perito C,Madrid,43,30,5590,5.4
Linea Directa,No,2025-03-10,Perito A,Málaga,45,42,5426,6.7
Mutua,Si,2024-01-06,Perito C,Málaga,35,35,5391,5.1
Mapfre,No,2025-05-05,Perito B,Zaragoza,32,22,3972,4.9
AXA,Si,2024-02-09,Perito A,Barcelona,34,24,3292,3.6
Allianz,Si,2024-06-14,Perito C,Zaragoza,46,24,5934,4.9
AXA,Si,2024-11-06,Perito B,Valencia,23,24,6465,3.0
Linea Directa,No,2024-11-02,Perito A,Madrid,35,23,666,6.2
Allianz,No,2025-01-09,Perito A,Valencia,49,42,5534,6.1
Generali,No,2024-10-10,Perito B,Barcelona,49,38,4626,5.2
Mapfre,No,2025-06-24,Perito A,Valencia,55,33,5778,6.5
Generali,Si,2024-11-28,Perito C,Málaga,22,47,6431,4.0
Allianz,No,2024-11-13,Perito C,Sevilla,41,18,3644,4.3
Mapfre,No,2025-05-11,Perito C,Madrid,41,17,3371,5.8
Mapfre,Si,2025-04-28,Perito A,Madrid,31,26,3119,4.5
Generali,Si,2024-01-30,Perito A,Málaga,40,32,330,2.4
Mapfre,Si,2025-05-25,Perito B,Zaragoza,23,37,1885,2.0
Allianz,Si,2024-11-07,Perito B,Valencia,50,34,7676,5.5
Linea Directa,No,2024-08-20,Perito A,Madrid,50,20,969,4.9
Linea Directa,No,2024-11-11,Perito C,Zaragoza,42,48,2591,4.9
Allianz,Si,2024-12-13,Perito A,Barcelona,39,16,5811,4.9
Generali,Si,2025-03-10,Perito D,Barcelona,34,44,7781,4.1
AXA,No,2024-07-15,Perito C,Valencia,42,23,7149,6.5
Allianz,Si,2025-06-06,Perito D,Barcelona,47,41,2633,2.3
Linea Directa,Si,2024-10-18,Perito B,Sevilla,35,48,5511,3.3
Allianz,Si,2025-06-18,Perito A,Málaga,56,38,5251,4.8
Mapfre,No,2024-12-04,Perito D,Madrid,40,31,6620,7.5
Mapfre,No,2024-05-08,Perito A,Zaragoza,34,43,1384,4.3
Allianz,No,2024-03-23,Perito D,Málaga,36,26,4755,3.0
Generali,Si,2024-05-09,Perito A,Valencia,56,45,3585,2.8
AXA,No,2025-01-04,Perito C,Málaga,32,23,4317,4.4
Mapfre,Si,2024-12-10,Perito B,Madrid,38,33,6596,5.8
